task_allocator,num_agents,throughput_mean,throughput_std,n
auction,50,0.19845000000000002,0.005703069349043541,10
auction,100,0.38930000000000003,0.008947997913872501,10
auction,150,0.5841000000000001,0.015611249505120049,10
auction,200,0.7799,0.018543941807980815,10
congestion_avoidance,50,0.20180000000000003,0.00697296366132953,10
congestion_avoidance,100,0.3962,0.009422785622568777,10
congestion_avoidance,150,0.5963499999999999,0.015807962128834525,10
congestion_avoidance,200,0.79505,0.016123567981202055,10
greedy,50,0.2008,0.005432413009990221,10
greedy,100,0.39435000000000003,0.0070751913990600625,10
greedy,150,0.54015,0.0300231854849992,10
greedy,200,0.6306,0.01316518979058874,10
hungarian,50,0.2023,0.006912950809089332,10
hungarian,100,0.3965,0.008676276723213576,10
hungarian,150,0.59565,0.014983416759130013,10
hungarian,200,0.79515,0.014061472184661163,10
