global_solver,num_agents,thpt_mean,thpt_std,thpt_ci95,thpt_per_agent_mean,agent_attr_max,exo_attr_mean,completed_mean,safe_wait_mean,solver_errors_mean,wall_s_mean
lacam3,25,0.0973,0.00476,0.00295,0.00389,0,400.5,194.6,113.5,2.1,468.08565
lacam3,50,0.2037,0.00649,0.00402,0.00407,0,904.7,407.4,299.4,8.6,1077.06062
lacam3,75,0.29945,0.00867,0.00538,0.00399,0,1589.8,598.9,459.5,14.5,1572.94373
lacam3,100,0.39545,0.00835,0.00518,0.00395,0,1988.0,790.9,859.4,26.1,1781.61991
lacam3,150,0.5955,0.01702,0.01055,0.00397,0,3034.7,1191.0,1717.7,49.2,2204.59976
lacam3,200,0.79435,0.01594,0.00988,0.00397,0,3600.3,1588.7,3234.9,75.1,2358.48168
lacam3,250,0.9796,0.01173,0.00727,0.00392,0,3338.8,1959.2,4482.8,93.3,2195.99812
lacam_official,25,0.0973,0.00477,0.00296,0.00389,0,435.7,194.6,131.2,0.2,71.36958
lacam_official,50,0.2037,0.0061,0.00378,0.00407,0,914.4,407.4,307.3,5.7,208.01193
lacam_official,75,0.2981,0.00815,0.00505,0.00397,0,1451.1,596.2,535.1,14.8,393.30097
lacam_official,100,0.3961,0.00777,0.00481,0.00396,0,1951.7,792.2,842.3,29.3,662.91298
lacam_official,150,0.59655,0.01601,0.00992,0.00398,0,2865.3,1193.1,1785.8,52.7,1139.18967
lacam_official,200,0.79385,0.01566,0.0097,0.00397,0,3626.9,1587.7,3193.6,78.6,1591.75674
lacam_official,250,0.97795,0.01119,0.00694,0.00391,0,3147.8,1955.9,4469.7,93.9,1711.62565
lns2,25,0.097,0.00462,0.00286,0.00388,0,383.1,194.0,123.5,2.1,64.73738
lns2,50,0.2045,0.00607,0.00376,0.00409,0,849.0,409.0,290.2,7.8,147.34907
lns2,75,0.29965,0.0093,0.00576,0.004,0,1442.4,599.3,437.2,13.7,247.48268
lns2,100,0.39595,0.00871,0.0054,0.00396,0,1882.6,791.9,872.7,28.5,345.45333
lns2,150,0.5965,0.01432,0.00887,0.00398,0,2699.7,1193.0,1737.0,49.7,558.3834
lns2,200,0.7948,0.01247,0.00773,0.00397,0,3481.7,1589.6,3157.2,78.6,760.24109
lns2,250,0.9836,0.0183,0.01134,0.00393,0,3241.5,1967.2,4449.8,92.7,729.91764
pibt2,25,0.09705,0.0044,0.00273,0.00388,0,429.0,194.1,122.2,0.0,41.78026
pibt2,50,0.20375,0.00616,0.00382,0.00408,0,890.7,407.5,291.0,0.0,100.68157
pibt2,75,0.29855,0.00839,0.0052,0.00398,0,1462.8,597.1,441.8,0.0,175.68181
pibt2,100,0.3948,0.00786,0.00487,0.00395,0,1932.6,789.6,695.4,0.0,274.32276
pibt2,150,0.5935,0.01544,0.00957,0.00396,0,2794.0,1187.0,1194.9,0.0,495.07176
pibt2,200,0.7855,0.01639,0.01016,0.00393,0,3457.4,1571.0,1777.9,0.0,726.01054
pibt2,250,0.98085,0.01995,0.01236,0.00392,0,4363.7,1961.7,2832.0,0.0,946.26595
