global_solver,num_humans,thpt_mean,thpt_std,thpt_ci95,agent_attr_max,exo_attr_mean,completed_mean,safe_wait_mean,solver_errors_mean,wall_s_mean
lacam3,25,1.4782,0.0197,0.0122,0,2426.0,2956.5,5181.8,95.6,1543.6748
lacam3,50,1.4816,0.0239,0.0148,0,4744.0,2963.3,6343.8,97.4,1622.0199
lacam3,75,1.4753,0.0222,0.0138,0,6781.6,2950.6,7910.5,96.6,1686.6505
lacam3,100,1.4746,0.0192,0.0119,0,8820.3,2949.2,9304.1,98.1,1778.7822
lacam3,150,1.4403,0.019,0.0118,0,12485.6,2880.6,12360.7,99.6,1925.3097
lacam3,200,1.365,0.0166,0.0103,0,15275.1,2730.0,15774.1,100.0,2056.4004
lacam3,250,1.2573,0.0334,0.0207,0,18607.9,2514.6,19445.7,100.0,2086.9979
lacam_official,25,1.4774,0.0212,0.0131,0,2412.7,2954.7,5140.3,95.6,1356.1466
lacam_official,50,1.4805,0.0233,0.0144,0,4804.8,2961.0,6353.7,97.1,1427.944
lacam_official,75,1.4766,0.0221,0.0137,0,6772.3,2953.3,7867.7,96.4,1467.2435
lacam_official,100,1.4734,0.0198,0.0123,0,8786.1,2946.8,9270.5,98.1,1536.843
lacam_official,150,1.4365,0.0202,0.0125,0,12572.1,2873.0,12447.3,99.7,1657.0181
lacam_official,200,1.364,0.0164,0.0102,0,15318.6,2727.9,15810.2,100.0,1764.741
lacam_official,250,1.2575,0.0333,0.0207,0,18611.4,2515.0,19470.1,100.0,1978.4361
lns2,25,1.478,0.022,0.0136,0,2403.0,2955.9,5179.8,95.7,351.0624
lns2,50,1.4835,0.0241,0.015,0,4753.8,2967.0,6375.5,97.6,402.2008
lns2,75,1.4766,0.022,0.0136,0,6805.8,2953.1,7887.4,96.5,450.9019
lns2,100,1.4755,0.0195,0.0121,0,8813.7,2951.0,9199.3,97.8,497.3323
lns2,150,1.4382,0.0198,0.0123,0,12492.9,2876.4,12350.8,99.3,605.3723
lns2,200,1.362,0.0192,0.0119,0,15350.4,2724.1,15841.9,99.9,698.8193
lns2,250,1.2575,0.0333,0.0207,0,18608.7,2515.0,19459.2,99.9,786.6163
pibt2,25,1.4876,0.0236,0.0146,0,3387.4,2975.3,2847.7,0.0,783.8592
pibt2,50,1.4908,0.022,0.0136,0,6563.6,2981.6,4147.8,0.0,842.2264
pibt2,75,1.4964,0.0219,0.0136,0,9416.1,2992.8,5473.5,0.0,885.8103
pibt2,100,1.4973,0.0231,0.0143,0,12222.7,2994.6,6760.2,0.0,910.8776
pibt2,150,1.4986,0.0225,0.0139,0,15366.3,2997.2,10256.4,0.0,892.8468
pibt2,200,1.496,0.0231,0.0143,0,13429.1,2991.9,14986.6,0.0,750.7285
pibt2,250,1.4822,0.0226,0.014,0,12283.2,2964.4,20788.3,0.0,664.6375
