hard_safety,num_agents,throughput_mean,throughput_std,safety_violations_mean,safety_violation_rate_mean,near_misses_mean,collisions_agent_human_mean,intervention_rate_mean,n
False,50,0.20459999999999998,0.006235204710174138,1122.1,561.05,98.3,0.0,80.05,10
False,100,0.3951,0.009562077877393238,2241.2,1120.6,185.3,0.0,68.4,10
False,150,0.59745,0.015096817177434746,3271.5,1635.75,270.1,0.0,62.95,10
False,200,0.79505,0.015498118165334347,4054.7,2027.35,361.6,0.0,57.0,10
False,250,0.9906499999999999,0.016769764458691758,4343.8,2171.9,549.1,0.0,53.15,10
False,300,1.14675,0.02288163989849602,4081.4,2040.7,765.0,0.0,50.35,10
False,350,1.3211499999999998,0.029196698824048937,4714.4,2357.2,967.8,0.0,50.15,10
False,400,1.4565,0.02072304138982611,5680.6,2840.3,1220.8,0.0,50.0,10
False,450,1.53565,0.027154956576409133,6962.8,3481.4,1509.3,0.0,50.0,10
True,50,0.2042,0.00621020665249287,915.6,457.8,0.0,0.0,83.25,10
True,100,0.39645,0.008970476266310739,1933.3,966.65,0.0,0.0,71.15,10
True,150,0.59675,0.016274127387427673,2838.6,1419.3,0.0,0.0,66.15,10
True,200,0.79325,0.015416891890246767,3352.2,1676.1,0.0,0.0,59.1,10
True,250,0.9819000000000001,0.017231753634883887,2960.8,1480.4,0.0,0.0,52.85,10
True,300,1.1315,0.022421467887322244,2930.0,1465.0,0.0,0.0,50.65,10
True,350,1.2493500000000002,0.035320005347929624,3517.1,1758.55,0.0,0.0,50.05,10
True,400,1.2740500000000001,0.03960180270868709,4153.0,2076.5,0.0,0.0,50.0,10
True,450,1.2458,0.05452838200831238,5121.6,2560.8,0.0,0.0,50.0,10
